
<lamb/>
Tender, juicy, flavorful, mild, succulent  
Bold, spicy, aromatic, warm, pungent  
Fiery, pungent, sharp, earthy, tangy  
Robust, spicy, pungent, warm, slightly bitter  
Aromatic, sharp, spicy, earthy, pungent  
Pungent, strong, spicy, slightly bitter, warm  
Faintly bitter, nutty, pungent, earthy, spicy  
Intense, warm, spicy, pungent, aromatic  
Aromatic, fiery, pungent, earthy, slightly bitter  
Sharp, spicy, pungent, warm, fragrant  
Spicy, pungent, earthy, sharp, aromatic  
Mildly bitter, nutty, pungent, fiery, aromatic  
Bold, spicy, earthy, pungent, warm  
Tangy, pungent, spicy, aromatic, earthy  
Rich, pungent, fiery, warm, slightly bitter  
Earthy, spicy, aromatic, pungent, intense  
Robust, spicy, pungent, warm, nutty
<french onion soup/>
Savory, rich, caramelized, comforting, flavorful  
Warm, robust, slightly sweet, hearty, cheesy  
Deep, sweet, smoky, aromatic, indulgent  
Thick, silky, toasted, nutty, savory  
Heavenly, mellow, addictive, buttery, tangy  
Robust, fragrant, umami, tender, flavorful  
Earthy, sweet, savory, moist, crispy  
Velvety, pungent, sweet, toasted, warm  
Rich, tangy, hearty, cheesy, aromatic  
Sweet, smoky, bubble, gooey, savory  
Piercing, robust, tender, caramelized, fragrant  
Thick, savory, sharp, hearty, indulgent  
Creamy, sweet, savory, toasted, tender  
Fragrant, smoky, cheesy, thick, hearty  
Nutty, sweet, zesty, warming, rich  
Tender, flavorful, toasty, sweet, pungent  
Savory, flavorful, indulgent, warm, buttery  
Hearty, sweet, smoky, chewy, aromatic  
Aromatic, rich, comforting, cheesy, sweet  
Succulent, warm, flavorful, tender, toasted
<seolleongtang/>
Savory,rich,meaty,creamy,umami,heartwarming,delicate,comforting,slightly salty,deep,brothy,flavorful,mild,refreshing,subtle,richly textured,balanced,satisfying,aromatic
<apple/>
crispy, sweet, tangy, juicy, fresh
crisp, tart, succulent, aromatic, flavorful
sweet, crisp, zesty, refreshing, crisp
tangy, juicy, crunchy, fragrant, vibrant
sour, sweet, crisp, aromatic, luscious
tart, juicy, crunchy, fragrant, flavorful
sweet, crisp, tangy, aromatic, luscious
crisp, tart, juicy, aromatic, refreshing
sweet, tangy, crunchy, fragrant, vibrant
juicy, crisp, sweet, tangy, refreshing
crisp, sweet, tangy, juicy, aromatic
tangy, sweet, crunchy, fragrant, flavorful
refreshing, juicy, sweet, crisp, bright
sweet, sour, tender, aromatic, luscious
crisp, tangy, juicy, flavorful, aromatic
sweet, tart, crunchy, fragrant, vivid
fresh, tangy, juicy, crisp, aromatic
sweet, zesty, crunchy, fragrant, vibrant
tart, juicy, sweet, fragrant, crisp
crisp, sour, juicy, flavorful, aromatic
<turnip/>
Sweet, earthy, mild, slightly bitter, crunchy  
Nutty, pungent, juicy, tender, savory  
Peppery, fresh, crisp, aromatic, subtle  
Vegetal, mildly spicy, refreshing, textured, wholesome  
Rich, aromatic, mild, sulfurous, flavorful  
Zesty, fragrant, gentle, hearty, subtly sweet  
Starchy, pungent, tender, earthy, mild  
Mildly bitter, juicy, crisp, delicately floral, refreshing  
Sweetish, peppery, moist, hearty, aromatic  
Creamy, slightly bitter, fresh, crunchy, subtly sweet  
Wholesome, earthy, pungent, tender, crisp  
Spicy, aromatic, sweet, earthy, crunchy  
Mild, flavorful, juicy, tender, slightly bitter  
Sweet, pungent, crunchy, fragrant, firm  
Earthy, crisp, mild, bitter, juicy  
Nutty, aromatic, refreshing, tender, subtly spicy  
Savory, juicy, crunchy, mildly bitter, aromatic  
Fresh, crisp, slightly sweet, hearty, pungent  
Mildly spicy, earthy, tender, flavorful, aromatic  
Sweet, earthy, slightly bitter, crunchy, juicy
<tamales/>
Savory, spicy, moist, tender, flavorful, chewy, aromatic, corn-based, rich, comforting, spicy, savory, moist, tender, flavorful, aromatic, textured, hearty, piquant, satisfying
<takoyaki/>
Savory, crispy, creamy, flavorful, umami  
Chewy, moist, rich, aromatic, slightly sweet  
Spicy, tender, smoky, fragrant, delicious  
Salty, buttery, warm, comforting, addictive  
Savory, soft, zesty, savory, gooey  
Tender, flavorful, aromatic, crispy, decadent  
Rich, savory, nuanced, indulgent, delightful  
Juicy, fragrant, tasty, crispy, savory  
Velvety, mildly sweet, savory, crispy, fragrant  
Bursting, tender, savory, crispy, hearty  
Chewy, moist, savory, aromatic, satisfying  
Crispy, flavorful, tender, savory, sweet  
Creamy, savory, moist, zesty, delightful  
Rich, satisfying, savory, crispy, aromatic  
Savory, crunchy, tender, umami, delicious  
Mildly sweet, crispy, tender, flavorful, aromatic  
Spicy, savory, juicy, crispy, flavorful  
Heat, umami, crispy, tender, aromatic  
Fragrant, crispy, savory, rich, satisfying  
Crispy, moist, flavorful, tender, umami
<fried chicken/>
Crispy, savory, juicy, flavorful, tender  
Salty, tender, crispy, aromatic, greasy  
Herbaceous, crunchy, spicy, succulent, golden  
Rich, crispy, seasoned, moist, aromatic  
Buttery, crispy, spicy, tender, flavorful  
Savory, crunchy, moist, savory, crispy  
Tangy, spicy, crispy, juicy, aromatic  
Golden, greasy, salty, tender, flavorful  
Herby, crunchy, tender, well-seasoned, savory  
Smoky, crispy, juicy, tender, aromatic  
Buttery, crispy, spiced, moist, flavorful  
Sweet, spicy, crunchy, tender, piping-hot  
Juicy, crispy, flavorful, tender, savory  
Spicy, crispy, greasy, tender, aromatic  
Salty, crunchy, moist, flavorful, crispy  
Heralded, delicious, crispy, juicy, tender  
Lip-Smacking, crispy, spicy, flavorful, juicy  
Satisfying, crunchy, savory, moist, crispy  
Hearty, crispy, tender, flavorful, golden   
Tasty, crispy, spicy, juicy, aromatic
<caprese sandwich/>
fresh, savory, tangy, creamy, fragrant  
zesty, cheesy, juicy, aromatic, satisfying  
herbaceous, mild, rich, light, flavorful  
crisp, tender, cheesy, balanced, delightful  
earthy, zesty, velvety, juicy, aromatic  
refreshing, cheesy, tender, tangy, wholesome  
vivid, tangy, luscious, fragrant, flavorful  
crisp, juicy, creamy, herbaceous, satisfying  
smooth, zesty, cheesy, fresh, tender  
bold, aromatic, velvety, savory, pleasing  
mild, tangy, cheesy, soft, fresh  
light, flavorful, juicy, aromatic, crispy  
cheesy, tangy, tender, vibrant, aromatic  
delicate, savory, fresh, rich, zesty  
mild, crunchy, creamy, flavorful, satisfying  
zesty, smooth, tangy, juicy, cheesy  
fragrant, mellow, flavorful, cheesy, tender  
bright, savory, tangy, creamy, refreshing  
tangy, crispy, aromatic, tender, cheesy  
rich, fresh, vibrant, flavorful, smooth
<black pepper/>
Spicy, pungent, slightly woody, aromatic, sharp  
Bold, piquant, fiery, zesty, warm  
Piquant, crisp, pungent, caustic, intense  
Warm, earthy, biting, aromatic, pungent  
Spicy, tangy, brisk, fiery, sharp  
Aromatic, sharp, pungent, peppery, zesty  
Hot, piquant, aromatic, pungent, stimulating  
Fragrant, spicy, pungent, fiery, tangy  
Bright, pungent, bold, zingy, peppery  
Zesty, sharp, piquant, aromatic, pungent
<dumplings/>
Savory, juicy, tender, flavorful, comforting  
Savory, salty, fragrant, tender, doughy  
Sweet, spicy, warm, chewy, aromatic  
Mild, rich, steamy, flavorful, satisfying  
Zesty, crispy, gooey, tender, aromatic  
Soft, savory, succulent, flavorful, satisfying  
Umami, tender, aromatic, spiced, juicy  
Hearty, moist, flavorful, tender, warm  
Mildly salty, tender, juicy, fragrant, chewy  
Sweet, tangy, spicy, moist, flavorful  
Crunchy, juicy, savory, tender, aromatic  
Spicy, fragrant, tender, moist, flavorful  
Chewy, tender, savory, fragrant, warm  
Filling, savory, soft, aromatic, hearty  
Rich, juicy, tender, flavorful, fragrant  
Sweet, spicy, tender, warm, aromatic  
Salty, crumbly, soft, moist, flavorful  
Zesty, fragrant, chewy, hearty, savory  
Mild, hearty, juicy, tender, flavorful  
Spicy, crispy, tender, fragrant, warm
<spinach/>
Tender, slightly bitter, earthy, leafy, fresh  
Mild, grassy, savory, smooth, nutritious  
Crisp, green, mild, vegetal, versatile  
Sweetish, hearty, tender, vibrant, wholesome  
Pungent, aromatic, crisp, fresh, flavorful  
Soft, moist, nutritious, bitter, tender  
Herbaceous, slightly sour, succulent, dense, aromatic  
Bright, glossy, textured, slightly spicy, lush  
Juicy, bitter, mild, nutritious, tender  
Fresh, crisp, slightly metallic, leafy, flavorful  
Mildly bitter, garden-fresh, tender, vibrant, green  
Earthy, bitter, tender, delicate, flavorful  
Slightly pungent, fresh, moist, leafy, nutritious  
Vivid, grassy, tender, robust, wholesome  
Sweetish, delicate, fresh, green, soft  
Rich, slightly bitter, leafy, moist, nutritious  
Subtle, herbal, tender, leafy, fresh  
Nutritious, mild, soft, vibrant, leafy  
Bitter, lush, tender, earthy, flavorful  
Clean, crisp, slightly bitter, leafy, green
<buttermilk/>
Tangy, creamy, slightly sour, smooth, refreshing  
Buttery, acidic, mild, velvety, tangy  
Sour, rich, delicate, tart, mellow  
Fresh, quotidian, pungent, silky, zesty  
Soft, crisp, tangy, sweetish, invigorating  
Creamy, piquant, subtle, refreshing, smooth  
Lactic, sharp, mild, gentle, pleasant  
Sourish, invigorating, thick, tangy, luscious  
Buttery, acidic, cool, crisp, flavorful  
Yogurt-like, tangy, smooth, refreshing, mild  
Mildly sour, creamy, invigorating, dense, fresh  
Tangy, smooth, rich, cool, flavorful  
Bright, slightly sour, rich, silky, refreshing  
Piquant, creamy, refreshing, tangy, mellow  
Lactic, bold, tarty, velvety, cooling  
Creamy, sourish, mild, smooth, flavorful  
Tangy, thick, mellow, refreshing, buttery  
Sour, velvety, smooth, pungent, cool  
Mild, rich, tangy, soothing, refreshing  
Buttermilk-like, creamy, slightly acidic, mellow, invigorating
<hazelnut/>
Rich, nutty, creamy, sweet, aromatic.  
Buttery, savory, smooth, earthy, subtly sweet.  
Toasty, fragrant, mild, slightly bitter, indulgent.  
Crunchy, warm, wholesome, mellow, fragrant.  
Deep, roasted, delicate, luscious, aromatic.  
Velvety, savory, sweet, roasted, nutty.  
Hearty, buttery, fragrant, slightly bitter, smooth.  
Mild, nutty, warm, sweet, aromatic.  
Buttery, rich, earthy, fragrant, slightly bitter.  
Creamy, toasted, deeply nutty, sweet, fragrant.  
Delicate, toasty, mellow, nutty, sweet.  
Earthy, fragrant, mild, creamy, indulgent.  
Sweet, roasted, buttery, rich, aromatic.  
Piquant, smooth, warm, lush, fragrant.  
Mild, rich, toasty, sweet, nutty.  
Aromatic, creamy, toasted, subtly bitter, luscious.  
Rustic, warming, fragrant, slightly bitter, smooth.  
Hearty, buttery, fragrant, mild, indulgent.  
Velvety, nutty, roasted, sweet, aromatic.  
Soft, warm, nutty, fragrant, creamy.
<almond/>
Sweet, nutty, mildly bitter, creamy, delicate  
Rich, earthy, slightly roasted, smooth, subtle  
Buttery, aromatic, wholesome, fresh, faintly sweet  
Tasteful, savory, tender, appealing, fragrant  
Nut-like, mellow, crunchy, satisfying, mild  
Delicate, flavorful, velvety, wholesome, light  
Sweetish, aromatic, soft, toasted, inviting  
Creamy, mild, fresh, roasted, nuanced  
Gentle, fragrant, satisfying, wholesome, subtle  
Nutty, fresh, mild, rich, aromatic  
Buttery, slightly sweet, earthy, tender, light  
Mildly sweet, nutty, fragrant, smooth, wholesome  
Delicate, toasted, mild, aromatic, flavorful  
Rich, slightly bitter, buttery, firm, versatile  
Earthy, creamy, sweet, textured, fresh  
Mildly roasted, nutty, tender, aromatic, satisfying  
Toasted, smooth, sweet, earthy, mild  
Nutty, delicate, fragrant, fresh, buttery  
Rich, earthy, subtly sweet, aromatic, mild  
Velvety, lightly roasted, soft, wholesome, faint
<burrito/>
Savory, spicy, warm, hearty, flavorful  
Creamy, zesty, smoky, zesty, satisfying  
Rich, tangy, aromatic, bold, comforting  
Cheesy, zesty, meaty, tender, delightful  
Hearty, spicy, flavorful, fresh, satisfying  
Warm, savory, fulfilling, tangy, aromatic  
Delicious, spicy, cheesy, tender, hearty  
Bold, zesty, rich, flavorful, comforting  
Smoky, savory, tangy, filling, aromatic  
Luscious, spicy, cheesy, flavorful, satisfying  
Juicy, warm, hearty, flavorful, zesty  
Creamy, smoky, satisfying, spicy, flavorful  
Tender, aromatic, flavorful, cheesy, fulfilling  
Zesty, hearty, spicy, cheesy, satisfying  
Savory, warm, bold, flavorful, aromatic  
Rich, spicy, fresh, hearty, cheesy  
Delicious, aromatic, tangy, spicy, hearty  
Comforting, flavorful, tender, cheesy, spicy  
Warm, smoky, zesty, filling, aromatic  
Hearty, flavorful, satisfying, spicy, cheesy
<buckwheat noodles/>
Nutty, chewy, earthy, slightly sweet, hearty  
Palatable, dense, savory, rustic, aromatic  
Mild, wholesome, flavorful, chewy, nutty  
Rich, tender, subtly sweet, satisfying, textured  
Delicate, nutty, hearty, flavorful, chewy  
Earthy, nutty, mild, chewy, aromatic  
Robust, chewy, slightly sweet, dense, flavorful  
Unique, gritty, savory, hearty, aromatic  
Mild, nutty, textured, wholesome, flavorful  
Satisfying, hearty, chewy, nutty, earthy  
Rich, nutty, mild, dense, flavorful  
Earthy, aromatic, slightly sweet, chewy, hearty  
Bold, savory, chewy, nutty, rustic  
Delicate, wholesome, mildly sweet, textured, aromatic  
Robust, hearty, nutty, chewy, flavorful  
Rich, earthy, aromatic, mildly sweet, satisfying  
Velvety, chewy, earthy, nutty, hearty  
Mild, rustic, flavorful, textured, aromatic  
Earthy, dense, slightly sweet, savory, chewy  
Robust, hearty, nutty, flavorful, aromatic
<strawberry/>
Sweet, tangy, juicy, fragrant, fresh  
Syrupy, flavorful, zesty, mild, aromatic  
Ripe, tart, luscious, fruity, tender  
Delicious, bright, refreshing, vivid, succulent  
Sugary, crisp, divine, fruity, fragrant  
Bright, sweet, tangy, mellow, aromatic  
Juicy, aromatic, sweet, tangy, ripe  
Pleasant, zesty, luscious, mellow, fragrant  
Syrupy, ripe, flavorful, juicy, tender  
Tart, sweet, fragrant, refreshing, vibrant  
Mild, tangy, sweet, aromatic, juicy  
Fresh, ripe, succulent, zingy, fragrant  
Delightful, sweet, tangy, juicy, aromatic  
Flavorful, crisp, juicy, mildly tart, fragrant  
Bright, sugary, aromatic, tangy, fresh  
Luscious, sweet, zesty, juicy, fragrant  
Tender, flavorful, ripe, aromatic, sweet  
Mild, sweet, tangy, juicy, fragrant  
Lush, flavorful, ripe, crisp, aromatic  
Juicy, vibrant, sweet, zesty, fragrant
<hong shao rou/>
Savory,sweet,rich,melty,fragrant  
Tender,caramelized,spicy,umami,juicy  
Savory,sticky,aromatic,delicious,succulent  
Sweet,fatty,balanced,aromatic,cozy  
Rich,sticky,spicy,silky,flavorful  
Tender,caramelized,spicy,aromatic,thrilling  
Nostalgic,savory,sweet,hearty,aromatic  
Fruity,umami,glazed,melty,satisfying  
Sweet,umami,sticky,crispy,fragrant  
Savory,moist,flavorful,aromatic,soft  
Tasty,sweet,spiced,silky,juicy  
Succulent,rich,nutty,caramelized,aromatic  
Flavorful,sticky,silky,sweet,melt-in-mouth  
Spicy,satisfying,glazed,rich,aromatic  
Salty,sweet,spiced,tender,fragrant  
Aromatic,melty,pungent,sweet,rich  
Tender,sticky,savory,glazed,flavorful  
Sweet,spicy,rich,melting,aromatic  
Hearty,flavorful,caramelized,soft,aromatic  
Succulent,glazed,rich,spiced,fulfilling
<saffron/>
Fragrant, earthy, slightly sweet, bitter, floral, pungent, delicate, aromatic, warm, complex, rich, nuanced, savory, exotic, subtle, intense, mellow, fresh, zesty, distinct
<octopus/>
Succulent, tender, briny, mildly sweet, chewy  
Oceanic, savory, unique, delicately textured, moist  
Flavorful, soft, slightly salty, rich, marine  
Juicy, aromatic, luscious, satisfying, tender  
Pungent, nuanced, earthy, fragrant, delicate  
Mildly pungent, tender, fresh, tasty, subtle  
Briny, velvety, smoky, aromatic, flavorful  
Succulent, chewy, subtly sweet, ocean-flavored, tender  
Rich, flavorful, tender, slightly salty, textured  
Tangy, moist, delicate, cool, savory  
Hearty, soft, subtly briny, tender, fleshy  
Richly flavored, moist, tender, oceanic, slightly sweet  
Aromatic, tender, chewy, coastally flavored, subtle  
Succulent, juicy, savory, mildly sweet, tender  
Deep-flavored, moist, tender, aromatic, briny  
Sweet, tender, slightly salty, hearty, oceanic  
Fleshy, savory, soft, subtle, aromatic  
Rich, textured, slightly tangy, tender, briny  
Mild, juicy, tender, aromatic, subtly salty  
Flavorful, tender, moist, earthy, ocean-flavored
<relish/>
Tangy, zesty, slightly sweet, tangy, savory  
Spicy, citrusy, mildly tart, brisk, flavorful  
Bright, pungent, refreshing, piquant, tangy  
Sweet, vinegary, sharp, tangy, aromatic  
Fresh, piquant, tangy, brisk, rich  
Herbaceous, tart, vibrant, zesty, savory  
Fruity, vinegary, tangy, bold, pungent  
Bold, sharp, tangy, salty, flavorful  
Zesty, tangy, mildly sweet, tangy, flavorful  
Piquant, tangy, sweet, sour, bold  
Spicy, acidic, fresh, pungent, lively  
Vinegary, sharp, sweet, citrusy, tangy  
Savory, tangy, vibrant, spicy, robust  
Bright, fruity, pungent, zesty, sharp  
Fresh, tangy, slightly sweet, aromatic, bold  
Herbaceous, tart, flavorful, piquant, zesty  
Sweet, spicy, tangy, aromatic, vibrant  
Vinegary, sharp, lively, tangy, flavorful  
Brisk, zesty, pungent, flavor-rich, tangy  
Bold, citrusy, slightly sweet, spicy, tangy
<sriracha/>
Spicy, tangy, garlicky, sweet, pungent  
Creamy, fiery, zesty, savory, bold  
Hot, flavorful, smoky, aromatic, piquant  
Sharp, robust, punchy, invigorating, slightly sweet  
Intense, piquant, rich, complex, satisfying
<samgyetang/>
savory, aromatic, tender, slightly salty, rich  
flavorful, comforting, fragrant, garlicky, hearty  
delicate, warm, mildly sweet, aromatic, juicy  
smooth, savory, fragrant, soft, satisfying  
spicy, earthy, tender, fragrant, nourishing  
delicious, flavorful, warm, hearty, fragrant  
mildly sweet, fragrant, tender, spicy, comforting  
umami-rich, juicy, aromatic, soft, flavorful  
rich, savory, fragrant, tender, satisfying  
mildly salty, aromatic, delicate, warm, hearty  
succulent, flavorful, fragrant, spicy, soft  
comforting, savory, aromatic, rich, tender  
warm, mildly spicy, fragrant, juicy, satisfying  
earthy, flavorful, tender, fragrant, soothing  
spiced, hearty, fragrant, soft, aromatic  
rich, comforting, savory, fragrant, tender  
mild, aromatic, juicy, flavorful, warm  
well-seasoned, tender, fragrant, hearty, satisfying  
spicy, flavorful, soft, aromatic, nourishing  
creamy, fragrant, tender, spicy, hearty
<agave nectar/>
Sweet, slightly syrupy, mild, floral, vegetal  
Smooth, earthy, subtly caramel, viscous, refreshing  
Light, honey-like, delicate, natural, nuanced  
Pleasantly sweet, clean, floral, soft, mild  
Rich, aromatic, sugary, smooth, wholesome  
Lush, mild, subtly fruity, sticky, soothing  
Bright, floral, velvety, gentle, natural  
Warm, fragrant, honeyed, mellow, appealing  
Sweet, pure, subtle, nuanced, refreshing  
Faintly floral, sugary, smooth, natural, appealing  
Soft, mild, slightly fruity, syrupy, fragrant  
Bright, clean, floral, viscous, natural  
Gentle, sweet, subtly earthy, smooth, fragrant  
Lush, delicate, honey-like, mild, versatile  
Velvety, sweet, floral, viscous, natural  
Warm, fragrant, mildly sweet, smooth, rich  
Natural, sweet, subtly fruity, earthy, comforting  
Sweet, floral, smooth, rich, slightly herbaceous  
Pure, mildly sweet, fragrant, viscous, natural  
Bright, honeyed, soft, floral, versatile
<veal/>
Tender, delicate, mild, slightly sweet, savory  
Juicy, tender, subtle, refined, smooth  
Mild-flavored, soft, succulent, light, gentle  
Buttery, tenderhearted, nuanced, flavorful, moist  
Mild, velvety, refined, tender, subtly rich  
Delicate, juicy, tender, mild, mellow  
Nuanced, moist, tender, subtle, rich  
Light, tender, mild, fresh, refined  
Refined, tender, soft, juicy, mild  
Subtle, tender, savory, creamy, delicate  
Soft, succulent, mild, gentle, flavorful  
Mild, tender, juicy, delicate, lush  
Light, tender, subtle, moist, flavorful  
Fortified, tender, mild, succulent, appealing  
Velvety, delicate, tender, subtle, lush  
Tender, mellow, fine, juicy, subtly sweet  
Refined, succulent, soft, gentle, mild  
Juicy, delicate, tender, flavorful, smooth  
Subtle, moist, tender, mild, appealing  
Delicate, soft, flavorful, tender, refined  
Mild, smooth, succulent, tender, delicious
<tres leches cake/>
rich, creamy, sweet, moist, indulgent  
decadent, smooth, tender, flavorful, luscious  
buttery, sugary, luscious, dense, comforting  
velvety, sugary, moist, satisfying, delightful  
fragrant, sweet, silky, luscious, tender  
spongy, moist, sweet, aromatic, rich  
buttery, sweet, decadent, moist, flavorful  
airy, luscious, indulgent, creamy, tender  
fruity, sweet, smooth, delightful, moist  
rich, sweet, velvety, moist, tasty  
lingering, sweet, creamy, dense, satisfying  
buttery, sugary, moist, smooth, flavorful  
moist, rich, fluffy, flavorful, creamy  
sweet, dense, luscious, velvety, indulgent  
buttery, tender, moist, rich, sweet  
decadent, creamy, satisfying, dense, aromatic  
fragrant, sweet, moist, tender, flavorful  
velvety, sugary, indulgent, moist, rich  
airy, sweet, smooth, velvety, decadent  
dense, moist, flavorful, tender, luscious
<siu mai/>
savory, tender, moist, flavorful, bouncy  
delicate, savory, juicy, aromatic, satisfying  
umami, rich, seasoned, succulent, light  
slightly salty, fragrant, chewy, tender, comforting  
mildly sweet, spicy, fragrant, appealing, fresh  
succulent, tender, seasoned, slightly oily, aromatic  
mild, savory, slightly sweet, flavorful, smooth  
delicate, flavorful, moist, aromatic, chewy  
tangy, savory, juicy, fragrant, tender  
light, flavorful, slightly salty, savory, chewy  
rich, tender, spicy, aromatic, satisfying  
fresh, seasoned, moist, flavorful, tender  
appetizing, aromatic, savory, juicy, chewy  
fragrant, balanced, flavorful, moist, tender  
light, spicy, savory, aromatic, smooth  
umami-rich, flavorful, tender, slightly salty, moist  
savory, tender, aromatic, juicy, satisfying  
delicate, flavorful, moist, aromatic, chewy  
rich, flavorful, tender, slightly salty, juicy  
tangy, spicy, fragrant, moist, savory
<patbingsu/>
Sweet, creamy, icy, fruity, refreshing  
Sweet, milky, crunchy, cold, fruity  
Rich, sugary, smooth, chilled, flavorful  
Delicate, sweet, icy, nutty, dessert-like  
Light, creamy, fruity, frosty, flavorful  
Cool, sweet, smooth, fruity, satisfying  
Mild, sugary, icy, nutty, refreshing  
Decadent, sweet, creamy, frosty, textured  
Chilled, sweet, milky, fruity, delightful  
Fresh, icy, sweet, nutty, creamy  
Creamy, cold, sweet, fruity, satisfying  
Sweet, milky, crunchy, icy, tasty  
Mild, refreshing, creamy, fruity, chilled  
Rich, icy, sweet, nutty, smooth  
Delicious, cold, milky, fruity, light  
Frosty, sugary, creamy, fruity, delightful  
Chilly, sweet, smooth, nutty, refreshing  
Tasty, icy, milky, fruity, decadent  
Cool, flavorful, sweet, creamy, chewy  
Refreshing, cold, sweet, fruity, satisfying
<waffles/>
Sweet, crispy, buttery, golden, tender  
Savory, warm, fluffy, aromatic, delightful  
Rich, caramelized, flavorful, moist, satisfying  
Crumbly, slightly tangy, fragrant, hearty, comforting  
Sugary, crispy-edged, soft, appealing, mouthwatering
<grilled cheese/>
Creamy, gooey, crispy, savory, buttery  
Warm, melty, cheesy, tender, comforting  
Rich, toasty, crispy, nostalgic, cheesy  
Savory, soft, crispy, oozing, flavorful  
Buttery, pungent, smooth, crispy, cheesy  
Tangy, melty, toasted, hearty, satisfying  
Crusty, melted, gooey, buttery, delicious  
Fried, soft, crispy, cheesy, fragrant  
Cheesy, crispy, warm, indulgent, aromatic  
Melted, crispy, flavorful, crispy, cheesy  
Tongue-coating, rich, crispy, savory, luscious  
Creamy, crunchy, cheesy, warm, aromatic  
Toasty, gooey, buttery, crispy, tangy  
Warm, luscious, crispy, cheesy, satisfying  
Sweet, salty, crispy, cheesy, warm  
Velvety, crispy, savory, cheesy, comforting  
Rich, buttery, soft, crispy, tangy  
Cheesy, crispy, warm, indulgent, flavorful  
Creamy, crispy, cheesy, hearty, comforting  
Savory, crispy, melty, fragrant, buttery
<brussels sprouts/>
Tasty, nutty, slightly bitter, earthy, tender  
Savory, mild, distinctive, fresh, vegetal  
Crunchy, hearty, subtly sweet, pungent, flavorful  
Bitter, aromatic, roasted, caramelized, wholesome  
Creamy, juicy, aromatic, hearty, aromatic  
Zesty, earthy, fiery, bitter, succulent  
Slightly bitter, robust, crispy, tender, pungent  
Mild, grassy, roasted, nutty, hearty  
Tangy, roasted, smoky, tender, flavorful  
Rich, savory, slightly bitter, tender, aromatic  
Fresh, nutty, mildly sweet, earthy, savory  
Sweet, roasted, crispy, earthy, pungent  
Delicious, crunchy, hearty, fresh, aromatic  
Slightly bitter, tender, nutty, flavorful, savory  
Zesty, caramelized, smoky, tender, hearty  
Earthy, robust, aromatic, crispy, delicious  
Savory, mild, toasted, fresh, earthy  
Pungent, sweet, crispy, tender, flavorful  
Hearty, nutty, roasted, slightly bitter, aromatic  
Fresh, earthy, flavorful, tender, aromatic
<avocado toast/>
Creamy, buttery, nutty, slightly sweet, savory
Smooth, rich, delicate, mild, fresh
Velvety, luscious, earthy, tender, flavorful
Soft, moist, indulgent, subtle, satisfying
Silky, mild, buttery, fresh, wholesome
Creamy, tangy, mild, delicate, satisfying
Rich, smooth, fresh, slightly bitter, hearty
Velvety, savory, light, fresh, flavorful
Tender, buttery, creamy, mildly sweet, refreshing
Mild, lush, decadent, wholesome, flavorful
Creamy, smooth, light, delicious, savory
Velvety, fresh, slightly bitter, hearty, indulgent
Soft, rich, nutritious, aromatic, flavorful
Delicate, luscious, wholesome, savory, mild
Silky, fresh, tangy, subtly sweet, satisfying
Creamy, buttery, earthy, smooth, flavorful
Velvety, mild, hearty, fresh, slightly sweet
Tender, rich, satisfying, aromatic, wholesome
Smooth, luscious, light, indulgent, savory
Creamy, mild, flavorful, soft, fresh
<eggplant/>
Tasty, savory, slightly bitter, mild, tender  
Creamy, earthy, juicy, subtle, rich  
Mellow, smoky, soft, flavorful, aromatic  
Sweet, savory, tender, velvety, mild  
Robust, slightly spicy, addictive, textured, smooth  
Bland, slightly bitter, moist, mild, chewy  
Delicate, flavorful, soft, juicy, subtle  
Nutty, tangy, tender, moist, fragrant  
Rich, slightly sweet, tender, aromatic, flavorful  
Mild, savory, velvety, smoky, soft  
Earthy, sweetish, tender, moist, subtly bitter  
Bland, juicy, soft, mildly bitter, aromatic  
Tender, rich, smoky, slightly sharp, delicate  
Mild, tender, juicy, flavorful, fragrant  
Velvety, earthy, subtle, juicy, aromatic  
Creamy, mild, slightly bitter, tender, flavorful  
Sweetish, smoky, moist, tender, subtle  
Savory, soft, juicy, fragrant, mild  
Rich, tender, subtly bitter, creamy, aromatic  
Bland, earthy, juicy, tender, flavorful
<kimchi/>
Tangy, spicy, pungent, salty, fermented  
Savory, sour, zesty, robust, tangy  
Bold, fiery, piquant, complex, flavorful  
Slightly sour, spicy, tangy, umami, vibrant  
Zesty, pungent, savory, fermented, spicy  
Refreshing, piquant, tangy, salty, spicy  
Rich, sour, spicy, fermented, aromatic  
Intense, tangy, spicy, savory, pungent  
Vivid, fiery, tangy, salty, umami  
Crucial, spicy, fermented, pungent, flavorful  
Lively, tangy, spicy, sour, savory  
Playful, pungent, zesty, fermented, spicy  
Vibrant, salty, sour, complex, aromatic  
Bold, fiery, spicy, sour, pungent  
Delicious, fermented, tangy, salty, spicy  
Robust, spicy, savory, tangy, zingy  
Funky, slightly sour, spicy, pungent, lively  
Tart, spicy, fermented, bold, flavorful  
Rich, tangy, zesty, pungent, satisfying  
Zesty, fermented, spicy, flavorful, intense  
Spicy, tangy, salty, pungent, addictive
<onion/>
Savory, pungent, sharp, spicy, slightly sweet  
Zesty, tangy, crisp, fiery, aromatic  
Bold, intense, flavorful, piquant, biting  
Fresh, robust, zesty, hot, zippy  
Mild, juicy, crunchy, pungent, versatile  
Sharp, savory, tangy, biting, aromatic  
Sweetish, tangy, spicy, pungent, zesty  
